Name,Postcode,Latitude,Longitude
Brosters Environmental,OL14 7AF,53.7142,-2.16249
Envar Composting Ltd,PE28 3BS,52.3595392,-0.042302
Agriorganics Ltd,CA7 4PE,54.8645213,-3.3589797
Allium Helmsley Ltd,YO61 1TU,54.0901747,-1.2016869
Biffa Waste Services,DE65 6GX,52.86368,-1.58539
Jack Moody Ltd,WV10 7LX,52.6573059,-2.0518766
New Earth Solutions (CANFORD) LTD,BH21 3BW,50.77086,-1.9507
New Earth Solutions Ltd,BS11 8AZ,51.5125384,-2.6826621
Renewi UK Services Ltd (Dalinlongart),PA23 8QS,56.00126,-4.97023
Renewi UK Services Ltd (Lingerton),PA31 8UR,56.01922,-5.41815
Renewi UK Services Ltd (Moleigh),PA34 4SD,56.3847171,-5.4533324
Severn Trent Green Power,EN6 3NB,51.70461,-0.23921
Suez,NE63 9XS,55.1998,-1.5846
Tamar Energy,SG19 2HR,52.1537807,-0.2343821
THE FIRM OF A H TUCKER,EH55 8LJ,55.79174,-3.58807
The Maltings Organics Treatment Ltd,LS25 5FP,53.7749,-1.23409
Tunnel Tech Ltd,SO20 6DD,51.13697,-1.4486
WASTE RECYCLING LTD,LL13 9UT,53.0464921,-2.9141765
NWP (Glenside),BT17 0LH,,
Northway Mushrooms Ltd,BT70 2HP,,
